answers,voucher,percentage
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
***REMOVED***,1,6.0
